x ft rt rb rv rl ht hv hb hl 
1.000000000000000021e-03 2.754737412082066653e-04 1.497293752489806395e-01 1.498894510835535321e-01 4.945884424794741441e-02 5.005522939147277750e-02 8.223008741634746442e-18 8.218616649311613136e-18 2.023379167508450211e-17 2.011289229829983606e-17
1.584893192461114082e-03 4.365964571426814351e-04 1.499802759599415392e-01 1.500556862913139666e-01 4.996078740914839528e-02 4.997203693180293088e-02 3.106014245903243725e-18 3.105233685685328593e-18 7.610634720713175040e-18 7.609778033334631127e-18
2.511886431509582039e-03 6.919587527780763150e-04 1.499997930205693997e-01 1.499977732946518871e-01 5.000017756309631245e-02 5.000081101616119655e-02 1.193210357234574575e-18 1.193218390519729956e-18 2.922749324806846957e-18 2.922730810803334236e-18
3.981071705534977752e-03 1.096680716741856455e-03 1.499982113006998463e-01 1.499983185841622380e-01 4.999790843527892464e-02 5.000008129587403538e-02 4.639298885689736459e-19 4.639297226604016843e-19 1.136408496825536152e-18 1.136383804024984649e-18
6.309573444801942418e-03 1.738121802267543438e-03 1.499979833072661028e-01 1.499981566241873621e-01 4.999969884724379116e-02 4.999901411457806366e-02 1.820822124240507267e-19 1.820821072296327011e-19 4.460068566227841649e-19 4.460099106271849215e-19
1.000000000000002102e-02 2.754737412082072616e-03 1.499949437530468943e-01 1.499943196901286635e-01 4.999926236720605988e-02 4.999804857098025940e-02 7.240863244617497471e-20 7.240878307686406261e-20 1.773625214055906833e-19 1.773646742961399785e-19
1.584893192461117248e-02 4.365964571426822483e-03 1.499873655070330103e-01 1.499856435540583288e-01 4.999827907304860153e-02 4.999514260335336663e-02 3.023238531253796599e-20 3.023255885780259441e-20 7.405207327129807574e-20 7.405439608136457362e-20
2.511886431509587417e-02 6.919587527780777896e-03 1.499682670802401918e-01 1.499639499928077657e-01 4.999568088252569209e-02 4.998779481547944992e-02 1.540605610676954334e-20 1.540627785610514468e-20 3.773461435517814401e-20 3.773759074135740725e-20
3.981071705534985211e-02 1.096680716741858450e-02 1.499203012693236248e-01 1.499094576167404325e-01 4.998915139235376309e-02 4.996934847548986647e-02 1.144878273560858362e-20 1.144919680013631198e-20 2.803926677217123045e-20 2.804482222050265943e-20
6.309573444801955255e-02 1.738121802267546603e-02 1.497998729046093047e-01 1.497726542871442856e-01 4.997275122450910850e-02 4.992303985697287699e-02 1.069608347551599250e-20 1.069705534644926995e-20 2.618960051490338860e-20 2.620263654918363246e-20
1.000000000000000056e-01 2.754737412082066544e-02 1.494977260035535993e-01 1.494294800948718915e-01 4.993156417902642336e-02 4.980689222253207454e-02 1.058220578982914117e-20 1.058462201255265932e-20 2.589529772023268422e-20 2.592768680880216571e-20
1.023292992280754182e-01 2.818903489357198547e-02 1.494740891878972855e-01 1.494026371219794591e-01 4.992833972115276464e-02 4.979780832521394501e-02 1.058096717009209764e-20 1.058349705044256698e-20 2.589105577602822558e-20 2.592496674512242883e-20
1.047128548050899610e-01 2.884564186574986935e-02 1.494493417374664346e-01 1.493745334021314153e-01 4.992496337045705668e-02 4.978829795243178841e-02 1.057995018753149204e-20 1.058259913101037265e-20 2.588729940050832874e-20 2.592280447142320028e-20
1.071519305237606523e-01 2.951754317906218200e-02 1.494234316388131922e-01 1.493451099239532232e-01 4.992142799113032103e-02 4.977834116782806073e-02 1.057914072013797041e-20 1.058191438925356476e-20 2.588399129149646023e-20 2.592116609782279020e-20
1.096478196143185063e-01 3.020509508447890429e-02 1.493963044437087717e-01 1.493143049553103119e-01 4.991772608293409269e-02 4.976791710073930064e-02 1.057852613432756728e-20 1.058143045977390604e-20 2.588109766918763371e-20 2.592002141517698005e-20
1.122018454301963591e-01 3.090866213112111738e-02 1.493679031856198769e-01 1.492820538855592627e-01 4.991384982058737207e-02 4.975700391983153142e-02 1.057809516657696575e-20 1.058113636114437096e-20 2.587858796806728821e-20 2.591934360504449336e-20
1.148153621496882937e-01 3.162861735954975578e-02 1.493381682360375440e-01 1.492482891075490592e-01 4.990979098202100173e-02 4.974557878326288374e-02 1.057783781767417048e-20 1.058102238936442170e-20 2.587643458325636887e-20 2.591910898147637941e-20
1.174897554939529770e-01 3.236534249955667908e-02 1.493070372114627953e-01 1.492129398868671797e-01 4.990554098748754830e-02 4.973361778922668480e-02 1.057774525478931991e-20 1.058108002139168182e-20 2.587461261158897414e-20 2.591929675628659669e-20
1.202264434617413141e-01 3.311922817256281876e-02 1.492744448240125033e-01 1.491759322074282523e-01 4.990109083584346600e-02 4.972109593465444399e-02 1.057780972435295515e-20 1.058130182833547095e-20 2.587309964084409568e-20 2.591988882381307342e-20
1.230268770812381757e-01 3.389067409873085940e-02 1.492403227572215996e-01 1.491371886317731654e-01 4.989643110155789207e-02 4.970798706018220159e-02 1.057802447211594478e-20 1.058168139621605420e-20 2.587187554291809377e-20 2.592086956907025272e-20
1.258925411794167559e-01 3.468008930890215114e-02 1.492045995351884147e-01 1.490966281375820379e-01 4.989155192915926268e-02 4.969426380253615105e-02 1.057838367084170895e-20 1.058221325497872684e-20 2.587092228567680028e-20 2.592222569212692635e-20
1.288249551693134154e-01 3.548789236147027043e-02 1.491672003676018654e-01 1.490541659682998177e-01 4.988644299062495319e-02 4.967989753348195370e-02 1.057888235562903813e-20 1.058289281379932526e-20 2.587022377089969033e-20 2.592394605262859458e-20
1.318256738556407293e-01 3.631451156430622745e-02 1.491280470032124439e-01 1.490097134534401346e-01 4.988109347127892002e-02 4.966485830880178198e-02 1.057951636514301347e-20 1.058371630369013939e-20 2.586976567991465925e-20 2.592602152695810035e-20
1.348962882591653867e-01 3.716038520185297594e-02 1.490870575793288300e-01 1.489631778307759780e-01 4.987549205981645084e-02 4.964911480983608127e-02 1.058028228867287473e-20 1.058468072574504127e-20 2.586953533195503838e-20 2.592844488131544961e-20
